F1,Threshold,Image Size,Index,Duration
0.5206123702491063,77.0,4032063,1,0.015585
0.006779015519375416,81.0,63756,10,0.0
0.8466599598290808,61.0,320920,100,0.0
0.1760483866956483,108.0,200568,1000,0.0
0.9807766763008383,74.0,65824,1002,0.0
0.5158982664982812,48.0,655155,1003,0.0
0.8898896644899797,101.0,163000,1004,0.0
0.9720435327911964,84.0,25652,1006,0.0
0.9162025900418492,109.0,33638,1008,0.0
0.2638388123011665,92.0,16128,101,0.0
0.8540494122288884,104.0,136360,1010,0.0
0.9564794963306495,85.0,118560,1011,0.0
0.8684741205467175,85.0,58275,1014,0.0
0.4252336448598131,100.0,46200,1015,0.0
0.9820603054693492,74.0,241800,1018,0.0
0.6764767534482036,58.0,34650,1019,0.0
0.6605858632875623,85.0,750820,102,0.015596
1.0,36.0,19549,1020,0.0
0.9856974108482585,75.0,35264,1021,0.0
0.9671192128377342,65.0,458932,1022,0.0
0.0,0.0,306642,1023,0.0
0.9523398128149748,100.0,6188,1024,0.0
0.9953911886250613,72.0,156138,1026,0.0
0.9671820076523471,102.0,32856,1027,0.0
0.9930997612004134,75.0,156814,1028,0.0
0.9301941732266276,45.0,944928,1029,0.0
0.9817460787215152,78.0,115260,103,0.0
0.6911945710388876,68.0,20272,1030,0.0
0.7019394853835682,49.0,233144,1031,0.0
0.9928314471023817,53.0,20886,1033,0.0
0.17406424169034201,86.0,74259,1034,0.0
0.09080240635435669,75.0,259350,1036,0.0
0.6353825685797518,51.0,4530012,1037,0.003037
0.47331878247045545,82.0,214830,1039,0.0
0.11674065495721547,94.0,104328,104,0.0
0.9866232442056886,92.0,50274,1041,0.0
0.9758553054104251,116.0,61425,1043,0.0
0.9110952332346637,113.0,75684,1044,0.0
0.7197052274611737,40.0,274846,1045,0.0
0.9029646331925032,40.0,1340880,1046,0.0
0.2949693813311967,44.0,29792,1047,0.0
0.02918812852587687,86.0,9312,105,0.0
0.23290857836958265,94.0,175099,1052,0.0
0.7497237569060774,43.0,54312,1053,0.0
0.6069228420088246,40.0,66144,1054,0.0
0.7180748554620144,41.0,151662,1055,0.0
0.7073815512550691,90.0,54264,1056,0.0
0.8503720343038212,100.0,718884,1057,0.0
0.870569093765561,60.0,585246,1058,0.0
0.8988709959740941,93.0,36580,1059,0.0
0.567237265276481,81.0,114244,106,0.0
0.0,60.0,260620,1061,0.0
0.8297694310152472,100.0,20125,1062,0.0
0.931983434838875,94.0,1490832,1063,0.0
0.724406202296165,55.0,129940,1064,0.0
0.39549556744668957,46.0,160720,1065,0.0
0.7284071625653625,64.0,147250,1068,0.0
0.8224981157214201,51.0,541020,1069,0.0
0.8495628417751898,87.0,146306,107,0.0
0.8496222167740209,42.0,25807,1070,0.0
0.7769160118379427,114.0,29240,1071,0.0
0.5953335241912396,55.0,42405,1072,0.0
0.6815308388860414,65.0,54020,1073,0.0
0.8448348814249159,112.0,67482,1074,0.0
0.8230647097548697,111.0,29318,1075,0.0
0.6628541433564019,48.0,193600,1076,0.0
0.7154001157153402,50.0,168732,1077,0.0
0.7130912479312407,63.0,925328,1078,0.0
0.9487198823573771,95.0,73899,1079,0.0
0.7838002400737618,90.0,238125,1080,0.0
0.9456674790683575,104.0,214170,1081,0.0
0.9401032868381679,71.0,41600,1083,0.0
0.9676786477852957,71.0,35816,1084,0.0
0.9502971961334998,98.0,982520,1085,0.0
0.9985283051165851,76.0,984060,1086,0.0
0.7546747451834828,114.0,45210,1088,0.0
0.5078777751253283,115.0,33370,1089,0.0
0.18043755720860674,106.0,91512,1092,0.0
0.7883271123176111,113.0,17200,1093,0.0
0.8069536961819659,84.0,39109,1094,0.0
0.7253964986654373,64.0,393981,1095,0.0
0.9857215193942999,82.0,261936,1096,0.0
0.0388035618872614,99.0,744416,1097,0.0
0.9417725499163891,97.0,95448,1098,0.0
0.9517561085535846,100.0,138824,1099,0.0
0.6479159096025108,87.0,1692597,11,0.0
0.9963463422599608,56.0,307120,1100,0.0
0.9413659823217227,87.0,163200,1101,0.0
0.9766508751695301,95.0,173580,1103,0.0
0.07043386088672832,82.0,58140,1104,0.0
0.071960218109443,89.0,645750,1106,0.015592
0.33595634030238847,81.0,734916,1107,0.0
0.03238542175525142,88.0,126666,1108,0.0
0.9198252857692869,87.0,97510,1109,0.0
0.11968934625970792,90.0,298850,1111,0.0
0.8913255053528543,89.0,191984,1112,0.0
0.7731030039637908,83.0,188376,1113,0.0
0.9186849698347469,97.0,106172,1114,0.0
0.7655846281898044,43.0,156464,1115,0.0
0.8401284532643943,100.0,359788,1116,0.0
0.9520014293149387,64.0,206000,1118,0.0
0.7361387210065785,85.0,419102,1119,0.0
0.9311163895486936,105.0,21583,1120,0.0
0.9586576367128272,90.0,31647,1121,0.0
0.5967289063596799,52.0,59974,1122,0.0
0.970510162093254,69.0,76024,1124,0.0
0.8907699730714812,54.0,358248,1125,0.0
1.0,49.0,106932,1126,0.0
0.906939761107486,46.0,151686,1128,0.0
0.46507654255941927,48.0,432815,1129,0.0
0.807094662302091,86.0,111555,113,0.0
0.25033037586235996,91.0,2048662,1130,0.0
0.07085135194164155,99.0,271360,1131,0.0
0.12349825140464774,82.0,1383360,1132,0.0
0.27733040507564666,99.0,74360,1133,0.0
0.003507997537432192,70.0,108135,1134,0.0
0.9432574430823117,33.0,9750,1139,0.0
0.9434627314597237,77.0,44520,114,0.0
0.391378492712295,83.0,301032,1143,0.0
0.890629555482128,105.0,56358,1145,0.0
0.9632407798672454,74.0,259752,1148,0.0
0.5376146113340944,85.0,20709,1149,0.0
0.7683871051978743,93.0,63252,115,0.0
0.867991520019304,100.0,55080,1151,0.0
0.4170120138976098,100.0,205140,1152,0.0
0.8997339613589778,110.0,185790,1153,0.0
0.9787773883501408,86.0,149022,1155,0.0
0.9315796217265747,86.0,374262,1156,0.0
0.9503650355169693,104.0,205178,1157,0.0
0.8700580483213053,96.0,36750,1158,0.0
0.9899172092855468,108.0,52510,1159,0.0
0.3683316951121437,29.0,28056,116,0.0
0.9335160837267543,108.0,53521,1160,0.0
0.7887195637745474,49.0,49192,1161,0.0
0.9404725300454202,83.0,1433128,1167,0.0
0.727851170730761,36.0,34749,1168,0.0
0.7997777283840853,64.0,76175,117,0.0
0.20794146662282145,118.0,113446,1170,0.0
0.9296603613306433,106.0,50112,1171,0.0
0.6275314666275733,53.0,33970,1174,0.0
0.7872571497526246,35.0,30150,1175,0.0
0.5253855954026727,54.0,108800,1176,0.0
0.7107863423262036,40.0,113708,1177,0.0
0.6991755702613776,41.0,35186,1178,0.0
0.7497330646241104,48.0,197790,1179,0.0
0.002624274539490285,90.0,47094,118,0.0
0.7178805964564351,57.0,34272,1180,0.0
0.2955831591800315,101.0,145530,1181,0.0
0.8461262396536521,54.0,355278,1183,0.0
0.732745487281289,47.0,82362,1184,0.0
0.8468293931113894,62.0,68761,1189,0.0
0.24912641315519013,95.0,13635,1190,0.0
0.7332828170269667,60.0,71048,1191,0.0
0.8567547356823321,103.0,160320,1192,0.0
0.04321969586410204,87.0,292560,1194,0.0
0.7200164733146264,57.0,190152,1195,0.0
0.5777403980936361,45.0,27674,1196,0.0
0.8204826621723383,54.0,82250,1197,0.0
0.5591353559983854,85.0,189224,12,0.0
0.30617838946397324,89.0,497021,120,0.0
0.8263899138513645,70.0,79560,1201,0.0
0.6896243291592129,94.0,17289,1203,0.0
0.19481836621796053,60.0,19690,1204,0.0
0.9255151003976213,50.0,165000,1206,0.0
0.9943549069970927,68.0,38868,1207,0.0
0.9472058135613503,85.0,118250,1208,0.0
0.9286046675597547,94.0,47748,1209,0.0
0.34495670489117713,105.0,23104,121,0.0
0.9482999901448704,88.0,32550,1210,0.0
0.2617490494296578,104.0,36160,1212,0.0
0.001963350785340314,88.0,12635,1213,0.0
0.8381880175353141,105.0,16422,1215,0.0
0.9074677679875425,103.0,429213,1216,0.0
0.8506088012280424,85.0,360144,1218,0.0
0.5892557323246723,46.0,222663,1219,0.0
0.25806314356225,83.0,65024,122,0.0
0.7757036711686981,42.0,35397,1220,0.0
1.0,39.0,14560,1221,0.0
0.8590030939354989,61.0,93840,1223,0.0
0.8414831981460024,99.0,9920,1224,0.0
0.0,60.0,704304,1225,0.0
0.0,71.0,1656144,1226,0.0
0.9565742899076233,104.0,32007,1227,0.0
