Index,Red Water STD,Red Non-Water STD,Green Water STD,Green Non-Water STD,Blue Water STD,Blue Non-Water STD
7565,8.967187045,14.61160941,12.86891335,13.83655687,21.39885418,14.60722798
7566,11.39502716,42.32534712,13.58915635,37.80808565,23.91648275,30.56186382
7568,11.42702291,46.93429557,13.45669125,45.67713444,22.92884441,43.26539203
7569,20.18522135,16.5785221,24.60263465,13.48375032,41.73899762,11.49562887
7570,22.13763228,13.87631827,25.38237373,11.94781899,38.04549228,16.74055505
7571,14.75706239,28.90546555,16.50923416,28.38493566,25.43583908,21.13953024
7572,26.61879783,10.72312072,25.65353806,13.538189,27.88108488,17.14824088
7573,14.50761923,26.74549134,17.31115015,26.99875063,31.98339124,22.49326177
7575,--,35.5591089,--,38.8333847,--,49.01763116
7576,10.45200733,4.905021407,12.82993622,4.933382971,19.57940971,6.78101893
7578,11.7695522,34.91883169,14.06550103,33.41308882,24.93221462,35.47169901
7579,12.50881675,32.01784912,15.63851548,29.34063577,28.52079289,26.83205911
7580,11.20188627,33.11636501,13.45563727,29.36437214,24.83325334,27.00869958
7581,8.990605564,42.86849811,9.922426221,40.42993746,16.86586555,38.09499213
7582,9.246259007,51.1367344,11.47597477,50.15586678,18.55162075,47.23152789
7583,9.847858794,44.91531812,11.47851306,40.01142343,18.36939123,35.70027543
7584,14.70265513,31.22572791,17.81509468,28.12250029,32.63877006,21.80108857
7586,24.87654159,40.80564186,27.10385455,46.64191285,37.33131936,53.97708487
7587,18.88290911,17.58477413,21.50624376,14.72653618,36.87489079,12.27682668
7588,9.023983558,70.8557349,10.40296803,70.94060184,13.95684172,67.97052245
7590,--,51.78888909,--,50.40207277,--,54.65853388
7591,7.917364837,43.70941371,8.586421408,52.24722758,14.88586749,54.69600432
7592,22.08283267,52.39606062,25.55685661,51.49333079,39.0282032,50.89525985
7593,22.85343904,16.07225849,26.41259473,17.28080092,41.04933872,20.20500599
7594,21.02808205,24.43531437,25.89920231,25.23617011,30.37856802,20.7354962
7595,41.671585,3.4101322,39.88782793,4.381447313,39.59552355,5.447601512
