Iteration,F1,Train Times,Test Times
1,0.05038190228623532,0.000997,0.073843
2,0.7426463080114185,2.677476,0.091792
3,0.6877400360094917,2.622151,0.084773
4,0.745109339547649,2.616244,0.084765
5,0.754811058992795,2.614708,0.082771
6,0.7484830475647183,2.57487,0.081789
7,0.7438363196036929,2.605373,0.087794
8,0.7211959975880448,2.659292,0.098734
9,0.7482312097411142,2.725607,0.093746
10,0.695197942628658,2.720827,0.079471
